,Title,Published_date,Views,Likes,Comments,Month
0,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,1679,55,18,Nov
1,A Data Dream Come True,2023-11-17,1944,86,23,Nov
2,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,5761,383,75,Sep
3,How to Survive a Down Data Job Market,2023-09-05,16661,550,63,Sep
4,The Harsh Reality of the Data Job Market,2023-08-24,106289,2588,292,Aug
5,7 Industries AI will Aggressively Disrupt,2023-08-14,6012,239,41,Aug
6,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4140,131,48,Aug
7,7 Enticing Jobs AI Will Create,2023-07-24,4621,195,37,Jul
8,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4069,144,31,Jul
9,Exciting Announcement!,2023-06-23,6615,296,50,Jun
10,AI: A Customer Service Revolution?,2023-05-26,3860,121,35,May
11,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,36180,1207,59,May
12,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,33674,1419,77,May
13,This AI question will determine our future,2023-04-06,4275,261,37,Apr
14,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71138,832,79,Apr
15,Your current portfolio is actually hurting you #shorts,2023-03-30,7604,440,7,Mar
16,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7214,390,4,Mar
17,you're job searching wrong. #shorts,2023-03-23,4270,252,3,Mar
18,The Economics of Data Roles #shorts,2023-03-21,9118,567,11,Mar
19,Why your phone knows everything you say #shorts,2023-03-18,3100,141,7,Mar
20,Read these for a successful career. #shorts,2023-03-16,3095,245,2,Mar
21,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2502,45,5,Mar
22,How I Realized I Was a Bad Manager #shorts,2023-03-07,2753,132,1,Mar
23,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20451,763,51,Mar
24,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8135,269,13,Mar
25,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2693,167,2,Feb
26,Learning On the companies dime #shorts,2023-02-24,3156,173,1,Feb
27,The Best Way to Transition to Data Science? #shorts,2023-02-21,4238,262,6,Feb
28,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7032,400,6,Feb
29,Don't Go into Data for the Money #shorts,2023-02-15,3785,219,12,Feb
30,First Data Science Project? Watch This.,2023-02-13,7246,359,22,Feb
31,How to Approach Applying for a Data Role #shorts,2023-02-08,3676,243,7,Feb
32,The Hard Reality of Data Science Work #shorts,2023-02-06,15660,849,15,Feb
33,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4686,195,6,Feb
34,These 3 Things Make Data Science Special #shorts,2023-02-01,4269,341,7,Feb
35,Will Data Science Be Automated? #shorts,2023-01-27,9988,420,8,Jan
36,Is Data Science A Good Fit For You? #shorts,2023-01-25,5112,291,11,Jan
37,5 Books I Wish I Read Earlier In My Career,2023-01-23,9378,518,50,Jan
38,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,8446,685,13,Jan
39,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6277,472,10,Jan
40,How long does it take to become a Data Scientist? #shorts,2023-01-12,6960,503,6,Jan
41,Where & how to start your Data Science Journey #shorts,2023-01-09,6907,419,2,Jan
42,How I Would NOT Learn Data Science in 2023.,2023-01-03,127452,4173,255,Jan
43,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4911,207,28,Dec
44,The Essential Programming Concepts For Learning Data Science,2022-11-14,20572,854,46,Nov
45,The Data Content House: What You Missed,2022-10-07,10522,348,49,Oct
46,Is Data Science A Good Career?,2022-09-29,62544,1953,140,Sep
47,IRON ANALYST (Teaser) #shorts,2022-09-27,5655,365,24,Sep
48,When a New Data Scientist Joins The Team,2022-08-29,16593,749,134,Aug
49,State of Data Science - Web Data,2022-08-05,10458,355,34,Aug
50,Data Science Town Hall - State of Data Science,2022-08-04,9986,368,37,Aug
51,The Programming Roadmap For Data Science,2022-07-29,27789,1309,64,Jul
52,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,84404,3120,92,Jun
53,Can AI Fix my Baseball Swing?,2022-06-10,7713,342,68,Jun
54,Every Data Scientist... (funny!),2022-05-24,17121,854,146,May
55,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15999,428,65,May
56,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,64295,1627,85,Apr
57,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,21737,894,113,Mar
58,Data Scientists VS NFT Scam,2022-03-03,4733,189,45,Mar
59,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11275,513,144,Feb
60,What Professional Data Scientists ACTUALLY Do,2022-02-14,98322,3396,188,Feb
61,Can You Analyze My Data Better Than I Can?,2022-01-31,7413,324,60,Jan
62,Giving Back to My Most Engaged Subscribers!,2022-01-28,2333,119,89,Jan
63,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,40411,1075,136,Jan
64,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8907,425,83,Jan
65,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8577,255,33,Jan
66,The Only Data Science Explanation You Need,2022-01-10,64417,2268,172,Jan
67,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14526,649,144,Jan
68,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,343588,15027,537,Dec
69,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,14043,471,68,Dec
70,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8050,569,25,Dec
71,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24827,1181,142,Dec
72,Why Is Data Engineering So HOT Right Now?,2021-11-26,29592,1100,141,Nov
73,Is Data Science Dying?,2021-11-19,124827,3890,363,Nov
74,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8289,388,112,Nov
75,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3636,202,46,Nov
76,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,13833,306,39,Oct
77,ML Ops: What is it REALLY?,2021-10-22,7155,287,66,Oct
78,Business Skills for Data Science: What are they REALLY?,2021-10-18,6888,301,50,Oct
79,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2213,124,5,Oct
80,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5975,283,64,Oct
81,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12968,531,110,Aug
82,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10270,434,32,Aug
83,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,41849,1619,32,Aug
84,How I Learned to Learn.,2021-07-31,50944,2369,209,Jul
85,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11060,607,51,Jul
86,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2450,93,30,Jul
87,Why are APIs Important for Data Science?,2021-07-09,10241,460,95,Jul
88,Is Your Phone REALLY Listening to You?,2021-07-03,5215,280,116,Jul
89,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,16190,626,121,Jun
90,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4106,225,41,Jun
91,#66DaysOfData - What is it? #shorts,2021-06-11,9364,399,54,Jun
92,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16762,1025,89,Jun
93,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7490,394,195,May
94,How Data Science Projects Pay Off,2021-05-22,10885,605,146,May
95,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10684,491,134,May
96,What is a lambda function (python)? #shorts,2021-05-13,15855,967,49,May
97,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,32767,1714,64,May
98,What is Pandas? (Data & Data Science) #shorts,2021-04-30,24638,1274,87,Apr
99,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77487,3437,284,Apr
100,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23573,694,85,Apr
101,Why You Probably Won't Become a Data Scientist,2021-04-09,138689,4038,479,Apr
102,How to Go From Data Analyst to Data Scientist,2021-04-02,54677,1554,178,Apr
103,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4005,138,92,Mar
104,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18294,353,108,Mar
105,My Regrets as a Data Science Student,2021-03-12,24021,883,112,Mar
106,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3846,196,83,Mar
107,What is the Future of my Comment Leaderboard Project?,2021-02-26,5588,201,81,Feb
108,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6894,176,51,Feb
109,Why I Quit Data Science,2021-02-12,105066,2350,347,Feb
110,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10758,558,116,Jan
